ID;Nom;Parent;Parent-ID;Synonymes;Ordre;Nb. fils;Nb. desc.;Nb. Pub.
c_64654;Maladies et états de santé;Thématique;j_7;;0;26;121;15395
c_64655;Addictions;Troubles mentaux et comportementaux;c_64700;"Toxicomanie
Addictions";0;0;0;197
c_64656;Douleur - Inflammation;Maladies et états de santé;c_64654;"Douleur ? Inflammation
Inflammation - Douleur";0;0;0;1146
c_64657;Système immunitaire;Maladies et états de santé;c_64654;;0;4;4;1145
c_64658;Anatomo-cytopathologie;Techniques et procédures de diagnostic;c_1151639;;0;0;0;37
c_64659;Anesthésie, sédation, analgésie;Procédures chirurgicales;c_1151644;;0;0;0;293
c_64660;Biologie;Techniques et procédures de diagnostic;c_1151639;"Biologie
Analyses médicales";0;0;0;266
c_64661;Transfusions, transplantations;Diagnostic et traitements;c_64705;;0;0;0;191
c_64663;C?ur;Maladies et états de santé;c_64654;;0;7;7;1592
c_64664;Chirurgie digestive et viscérale;Procédures chirurgicales;c_1151644;;2;0;0;144
c_64665;Chirurgie maxillo-faciale, stomatologie;Procédures chirurgicales;c_1151644;;3;0;0;101
c_64668;Bouche et dents;Maladies et états de santé;c_64654;;0;4;4;209
c_64669;Peau et tissu conjonctif;Maladies et états de santé;c_64654;;0;1;1;1220
c_64670;Diabète;Métabolisme et système endocrinien;c_64671;;1;0;0;469
c_64671;Métabolisme et système endocrinien;Maladies et états de santé;c_64654;;0;6;6;1284
c_64672;Appareil digestif;Maladies et états de santé;c_64654;;0;5;5;1487
c_64673;Personnes âgées;Populations spécifiques;c_1151628;"Personnes âgées
Gériatrie";0;0;0;680
c_64674;Appareil génital féminin;Appareil génital;c_1151774;"Appareil génital féminin
Femme (pathologies génitales)";0;0;0;371
c_64675;Sang et lymphe;Maladies et états de santé;c_64654;;0;6;6;943
c_64676;Imagerie médicale;Techniques et procédures de diagnostic;c_1151639;;0;0;0;552
c_64677;Rééducation et réadaptation;Diagnostic et traitements;c_64705;;0;0;0;173
c_64678;Maladies génétiques, rares, congénitales;Maladies et états de santé;c_64654;;0;0;0;902
c_64679;Infections;Maladies et états de santé;c_64654;;0;6;6;2151
c_64680;Traitement d'urgence et réanimation;Diagnostic et traitements;c_64705;"Traitement d'urgence et réanimation
Urgences
Réanimation et traitement d'urgence";0;0;0;191
c_64682;Expertise légale;Économie et santé publique;c_64710;;0;0;0;53
c_64683;Aides techniques;Diagnostic et traitements;c_64705;;0;0;0;305
c_64685;Traitement alternatif;Diagnostic et traitements;c_64705;;0;0;0;77
c_64686;Rein;Système urinaire;c_64704;;2;0;0;360
c_64687;Neurochirurgie;Procédures chirurgicales;c_1151644;;11;0;0;114
c_64688;Système nerveux;Maladies et états de santé;c_64654;;0;6;6;1331
